
2025/01/06 (15:42:16) | ===> btop++ v.1.3.0
2025/01/06 (15:42:16) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/01/06 (15:42:16) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/01/06 (15:45:30) | INFO: Logger set to INFO
2025/01/06 (15:45:33) | INFO: Logger set to DEBUG
2025/01/06 (15:45:37) | INFO: Logger set to INFO
2025/01/06 (15:45:38) | INFO: Logger set to DEBUG
2025/01/06 (15:45:39) | INFO: Logger set to INFO

2025/01/08 (01:47:53) | ===> btop++ v.1.3.0
2025/01/08 (01:47:53) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/01/08 (01:47:53) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/01/08 (21:09:17) | ===> btop++ v.1.3.0
2025/01/08 (21:09:17) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/01/08 (21:09:17) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/01/08 (21:19:56) | ===> btop++ v.1.3.0
2025/01/08 (21:19:56) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/01/08 (21:19:56) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/01/08 (21:27:06) | ===> btop++ v.1.3.0
2025/01/08 (21:27:06) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/01/08 (21:27:06) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/02/22 (16:01:35) | ===> btop++ v.1.2.13
2025/02/22 (16:01:35) | ERROR: Stall in Runner thread, restarting!
